# BGP AS Number: (Private AS)
# Please follow numeric order

AS Number	Name
===============|================================================================
4200002547	Lan Tian
4201270004	frank
4200006969	santost12
4200012450	MagicNeko-IX
4200012451	Icecat
4200055555	Septs
4200066666	JerryXiao
4200078274	Staph
4200114514	chenx97
4201048576	Neo_Chen
4203223939	LibreHouse (outvi)
4242420140	Yangfl Network
4242423088	SUNNET
